transaction_id,creator_id,buyer_id,product_id,product_name,category,quantity,unit_price,gross_amount,status,channel,created_at
trx_000001,cr_001,by_0280,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,katalog,2026-05-08T12:41:44+08:00
trx_000002,cr_001,by_0032,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,2,258000,516000,COMPLETED,katalog,2026-05-11T19:41:06+08:00
trx_000003,cr_001,by_0161,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,share_link,2026-05-12T20:03:47+08:00
trx_000004,cr_001,by_0261,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,whatsapp,2026-05-13T20:22:41+08:00
trx_000005,cr_001,by_0023,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,PAID_ESCROW,share_link,2026-05-16T20:38:16+08:00
trx_000006,cr_001,by_0136,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,2,258000,516000,COMPLETED,share_link,2026-05-18T22:11:37+08:00
trx_000007,cr_001,by_0021,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,CANCELLED,katalog,2026-05-23T11:19:23+08:00
trx_000008,cr_001,by_0096,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,2,258000,516000,COMPLETED,katalog,2026-05-23T22:05:54+08:00
trx_000009,cr_001,by_0353,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,share_link,2026-05-24T16:59:40+08:00
trx_000010,cr_001,by_0143,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,instagram_bio,2026-05-28T17:27:11+08:00
trx_000011,cr_001,by_0251,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,instagram_bio,2026-05-29T19:16:32+08:00
trx_000012,cr_001,by_0330,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,katalog,2026-05-30T17:56:58+08:00
trx_000013,cr_001,by_0138,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,instagram_bio,2026-06-01T10:20:25+08:00
trx_000014,cr_001,by_0324,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,katalog,2026-06-01T13:04:45+08:00
trx_000015,cr_001,by_0205,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,whatsapp,2026-06-05T18:57:37+08:00
trx_000016,cr_001,by_0126,pr_001_01,Hampers Spesial,Hampers,1,521000,521000,COMPLETED,katalog,2026-06-06T21:56:04+08:00
trx_000017,cr_001,by_0052,pr_001_01,Hampers Spesial,Hampers,1,521000,521000,COMPLETED,share_link,2026-06-08T10:14:55+08:00
trx_000018,cr_001,by_0350,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,PAID_ESCROW,share_link,2026-06-16T19:44:59+08:00
trx_000019,cr_001,by_0123,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,instagram_bio,2026-06-17T22:51:19+08:00
trx_000020,cr_001,by_0354,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,CANCELLED,share_link,2026-06-25T09:04:56+08:00
trx_000021,cr_001,by_0296,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,katalog,2026-06-26T22:07:24+08:00
trx_000022,cr_001,by_0393,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,share_link,2026-07-02T10:48:34+08:00
trx_000023,cr_001,by_0031,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,katalog,2026-07-02T13:25:57+08:00
trx_000024,cr_001,by_0321,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,share_link,2026-07-04T12:58:06+08:00
trx_000025,cr_001,by_0277,pr_001_01,Hampers Spesial,Hampers,1,521000,521000,COMPLETED,whatsapp,2026-07-05T14:31:13+08:00
trx_000026,cr_001,by_0277,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,PAID_ESCROW,share_link,2026-07-07T18:13:59+08:00
trx_000027,cr_001,by_0347,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,PAID_ESCROW,katalog,2026-07-10T12:42:24+08:00
trx_000028,cr_001,by_0186,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,share_link,2026-07-10T20:39:56+08:00
trx_000029,cr_001,by_0005,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,PAID_ESCROW,share_link,2026-07-17T22:41:33+08:00
trx_000030,cr_001,by_0154,pr_001_03,Bouquet Bunga Artificial,Bouquet,2,124000,248000,COMPLETED,share_link,2026-07-18T19:07:46+08:00
trx_000031,cr_001,by_0232,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,katalog,2026-07-24T16:57:33+08:00
trx_000032,cr_001,by_0360,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,instagram_bio,2026-08-01T13:10:50+08:00
